opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value
DM9TEPBH,Vivaan Das,FinSuite Basic,Infosys,Proposal,2024-04-14,2024-05-12,8596
35N4TJP4,Krishna Reddy,BizCRM Lite,HDFC Bank,Lost,2022-03-16,2022-04-29,10246
JM37ZEDJ,Meera Chatterjee,FinSuite Basic,Wipro,Prospecting,2024-10-27,2025-03-01,19473
TDBTOE18,Vihaan Banerjee,Market360,HDFC Bank,Lost,2022-01-17,2022-02-22,899
OXGTCRVN,Siddharth Mohanty,Market360,Marico,Prospecting,2022-08-09,2022-10-20,4407
PW9SXTBH,Aditya Reddy,TrackPro,Wipro,Won,2024-06-04,2024-12-13,6982
I0BIHZVA,Arjun Iyer,BizCRM Lite,Tata Motors,Prospecting,2023-01-26,2023-07-20,9079
OQKBMKY7,Farhan Menon,Market360,Asian Paints,Negotiation,2023-07-10,2023-10-06,5975
VXESAK34,Saanvi Nair,TrackPro,Marico,Lost,2022-11-07,2022-12-16,6800
UJX5FSZG,Siddharth Patel,BizCRM Pro,L&T,Prospecting,2022-02-04,2022-04-11,10793
K1GL77HO,Kavya Menon,Market360,Flipkart,Won,2023-03-30,2023-06-07,2626
A1HJC27Q,Rohan Kapoor,BizCRM Pro,ICICI Bank,Won,2024-08-27,2024-12-31,15070
GOIOB257,Ananya Shetty,Market360,Aditya Birla Group,Proposal,2022-02-24,2022-05-07,2352
VEAKMEHJ,Ishaan Rout,FinSuite Advanced,ICICI Bank,Negotiation,2023-07-20,2023-08-23,17769
N8L2GL34,Farhan Menon,SalesEdge Premium,Reliance Retail,Prospecting,2024-05-19,2024-09-30,19161
IKZLMRRQ,Farhan Menon,SalesEdge Premium,Mahindra,Lost,2022-01-29,2022-05-29,11189
U3QO78G6,Aarav Patel,SalesEdge Premium,Asian Paints,Negotiation,2023-05-28,2023-09-28,6101
MO17BRHU,Ira Yadav,FinSuite Advanced,Aditya Birla Group,Proposal,2023-10-12,2023-10-30,1770
94AL3TTQ,Aarav Bhatt,BizCRM Lite,HDFC Bank,Lost,2023-06-30,2023-09-10,1597
BL8ZG4WV,Aditya Das,Market360,Tata Motors,Negotiation,2023-01-28,2023-06-08,14249
ATDSLS98,Ananya Banerjee,FinSuite Advanced,Reliance Retail,Proposal,2024-09-03,2024-11-30,1371
BATAK9H8,Farhan Verma,SalesEdge Premium,Flipkart,Prospecting,2024-02-27,2024-07-07,14100
FURGTRIG,Vihaan Qureshi,FinSuite Advanced,Asian Paints,Won,2022-02-05,2022-03-01,16571
27LXO99T,Arjun Sharma,BizCRM Pro,Marico,Won,2023-10-29,2024-02-29,4525
PKNP837J,Saanvi Yadav,FinSuite Basic,Mahindra,Won,2024-11-18,2025-01-05,5495
CMDY8HEQ,Ira Nair,BizCRM Pro,Air India,Negotiation,2022-03-25,2022-06-19,9555
SSYT0BV4,Vihaan Desai,BizCRM Pro,ICICI Bank,Lost,2022-11-29,2023-03-14,19385
IHT6JEHU,Tanvi Mohanty,FinSuite Advanced,Aditya Birla Group,Negotiation,2024-07-19,2024-10-20,8638
IVZXIVCM,Aisha Sharma,Market360,ICICI Bank,Lost,2023-07-17,2023-10-15,782
SSMOCC7P,Kavya Nair,FinSuite Basic,Tata Motors,Won,2024-06-11,2024-09-29,14218
